cmx cmy cmz ux uy uz costheta
#properties of cations
4.781913141680963264e+00 1.153672463462480202e+01 2.028790144272577720e+02 -9.079413412351635682e-01 -3.959723073863279930e-01 -1.372896669791279778e-01 -9.079413412351635682e-01
1.022059715001967461e+01 3.714817329267081902e+01 1.928450182152117520e+02 -7.651269822864975589e-01 2.835243508991318051e-01 -5.780957043815355689e-01 -7.651269822864975589e-01
2.768244850508105870e+01 2.231756969183400230e+01 1.987384258327640225e+02 -5.267980753627262702e-01 7.114925714237764487e-02 8.470074208660839377e-01 -5.267980753627262702e-01
3.419363155603070936e+01 1.998263007778840716e+01 2.034373083861480325e+02 -1.744407163251301407e-01 2.939589681588566927e-01 9.397651629672998386e-01 -1.744407163251301407e-01
3.027546636297546101e+01 2.284230488612714538e+01 2.059466767049409555e+02 -4.510210329458802514e-01 -8.178898850648479435e-01 3.572620379344004227e-01 -4.510210329458802514e-01
1.325844760700957004e+01 3.445567259486006151e+01 2.053595436236850844e+02 -3.378917984736377611e-01 -7.761538373771489918e-02 9.379792027180015035e-01 -3.378917984736377611e-01
3.918586592157840442e+01 3.561909461789373665e+01 1.958822030217704082e+02 -4.363521609702530890e-02 5.406224458571001756e-02 -9.975837015641950689e-01 -4.363521609702530890e-02
2.546982396180592190e+01 1.701095957691504523e+01 2.031925764045321046e+02 -2.286093670048969517e-01 4.783606406038130032e-01 8.478849301873042643e-01 -2.286093670048969517e-01
1.542868619741195957e+01 1.062587039908353326e+01 1.957540820356722406e+02 4.480549737494254336e-01 5.810139691439726306e-01 -6.794626613420109429e-01 4.480549737494254336e-01
3.335061294451718794e+01 2.536688614620357107e+00 2.038605029459317564e+02 -3.908910451631406047e-01 -8.783840109468094015e-01 2.750376703731018946e-01 -3.908910451631406047e-01
9.254736479053500275e+00 2.092971155819572715e+01 2.039228307105121587e+02 -2.695022013071899925e-01 -1.476098241145613610e-01 9.516196211278155070e-01 -2.695022013071899925e-01
2.398668418958757442e+01 3.251327129604056410e+01 1.971869003251017887e+02 7.158853253767656355e-01 -5.160861957352868012e-01 -4.702799586221824701e-01 7.158853253767656355e-01
3.442583087716445078e+01 1.015145424423488230e+01 2.052411872447626422e+02 -4.806531416102511334e-01 -3.342583039681680801e-01 8.107058305504651896e-01 -4.806531416102511334e-01
